# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/mutant-01.bam" "bam/mutant-02.bam" "bam/mutant-03.bam" "bam/mutant-04.bam" "bam/mutant-05.bam" "bam/mutant-06.bam" "bam/wildtype-01.bam" "bam/wildtype-02.bam" "bam/wildtype-03.bam" "bam/wildtype-04.bam" "bam/wildtype-05.bam" "bam/wildtype-06.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/mutant-01.bam	bam/mutant-02.bam	bam/mutant-03.bam	bam/mutant-04.bam	bam/mutant-05.bam	bam/mutant-06.bam	bam/wildtype-01.bam	bam/wildtype-02.bam	bam/wildtype-03.bam	bam/wildtype-04.bam	bam/wildtype-05.bam	bam/wildtype-06.bam
YDL203C	IV	96082	97953	-	1872	81	68	61	78	60	156	30	63	48	73	50	106
YDL202W	IV	98475	99224	+	750	80	69	71	84	52	87	44	66	42	97	53	100
YDL201W	IV	99561	100421	+	861	71	59	62	61	35	101	37	91	67	84	99	171
YDL200C	IV	100501	101067	-	567	47	36	28	49	22	26	10	29	29	27	15	45
YDL198C	IV	103649	104551	-	903	199	169	147	175	117	86	140	117	135	211	91	226
YDL197C	IV	104917	106494	-	1578	191	112	130	167	88	355	53	81	45	89	65	119
YDL195W	IV	107208	111029	+	3822	694	581	568	776	438	2623	357	417	341	519	373	986
YDL194W	IV	111580	114234	+	2655	141	97	90	127	86	150	61	83	55	76	65	133
YDL193W	IV	114672	115799	+	1128	132	92	91	104	70	35	43	101	70	115	63	150
YDL192W	IV	116321	116866	+	546	1002	926	846	1154	772	204	489	795	678	962	834	1350
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	546	575	422	654	434	76	324	532	375	634	573	826
YDL190C	IV	118707	121592	-	2886	207	181	173	220	116	249	111	171	137	165	159	316
YDL189W	IV	122216	123589	+	1374	243	210	201	252	172	295	117	174	136	199	186	405
YDL188C	IV	123865	124998	-	1134	172	145	146	193	113	216	80	111	94	113	125	240
YDL185W	IV	126787	130002	+	3216	1307	1233	1270	1373	835	672	755	985	856	1320	973	2011
YDL184C	IV	130407	130484	-	78	622	457	529	621	423	54	250	489	372	535	443	862
YDL182W	IV	133437	134723	+	1287	195	149	174	164	149	128	292	314	230	396	363	609
YDL181W	IV	135179	135436	+	258	70	51	68	95	53	29	40	26	40	55	25	40
YDL179W	IV	138291	139205	+	915	46	33	35	42	16	61	14	40	46	29	26	60
YDL178W	IV	139522	141114	+	1593	171	144	152	174	121	179	73	104	73	154	110	193
YDL175C	IV	144484	145518	-	1035	76	60	54	86	43	37	38	60	41	55	69	90
YDL174C	IV	145826	147589	-	1764	475	377	393	442	292	898	204	201	173	329	186	382
YDL173W	IV	148191	149078	+	888	424	409	354	503	311	422	173	189	174	265	183	280
YDL171C	IV	149203	155640	-	6438	560	403	388	495	284	192	288	438	261	509	479	847
YDL170W	IV	156318	157904	+	1587	65	60	60	81	51	102	51	41	58	77	37	78
YDL169C	IV	158064	158735	-	672	91	67	68	96	67	211	25	13	31	43	17	33
YDL168W	IV	159604	160764	+	1161	153	135	141	173	99	94	91	131	91	158	118	255
YDL167C	IV	160995	163154	-	2160	35	41	35	44	38	43	41	100	27	58	90	171
YDL166C	IV	163449	164042	-	594	115	99	86	128	81	73	43	102	55	110	125	152
YDL165W	IV	164290	164865	+	576	70	72	81	100	53	48	46	57	35	77	51	87
YDL164C	IV	164987	167254	-	2268	99	85	92	126	68	116	44	75	42	101	74	146
YDL161W	IV	167714	169078	+	1365	303	237	197	290	186	970	120	149	102	227	129	290
YDL160C-A	IV	169366	169608	-	243	25	33	30	36	29	14	21	27	23	36	25	41
YDL160C	IV	170410	171930	-	1521	142	158	142	186	85	374	123	100	86	153	100	234
YDL159W-A	IV	172182	172313	+	132	0	0	0	0	0	0	0	0	0	0	0	0
YDL159W	IV	172481	174028	+	1548	77	76	43	71	61	93	26	42	37	59	40	68
YDL159C-B	IV	173056	173232	-	177	0	0	0	0	0	0	0	0	0	0	0	0
YDL156W	IV	174918	176486	+	1569	34	34	36	29	18	49	9	17	17	18	19	39
YDL155W	IV	176773	178056	+	1284	191	123	121	195	113	190	56	67	79	100	102	201
YDL154W	IV	178334	181039	+	2706	12	7	6	4	14	8	14	28	16	31	29	29
YDL153C	IV	181186	183018	-	1833	180	136	165	224	108	231	112	203	125	166	237	547
YDL151C	IV	183318	183899	-	582	0	0	0	0	0	0	1	2	1	1	2	5
YDL150W	IV	183343	184611	+	1269	58	47	57	60	43	91	20	74	39	49	79	159
YDL149W	IV	184925	187918	+	2994	97	92	68	100	65	82	46	54	25	73	39	89
YDL148C	IV	188154	190586	-	2433	107	87	73	136	39	155	53	174	87	114	186	399
YDL147W	IV	190924	192261	+	1338	488	417	397	607	305	532	179	261	247	347	289	647
YDL146W	IV	192750	194225	+	1476	87	82	76	100	62	82	70	81	68	103	79	145
YDL145C	IV	194571	198176	-	3606	723	626	636	810	407	737	402	521	422	681	532	1099
YDL143W	IV	199996	201582	+	1587	526	473	487	500	323	401	359	481	349	558	482	907
YDL142C	IV	201719	202570	-	852	89	62	65	124	53	108	23	43	46	60	29	84
YDL141W	IV	203039	205111	+	2073	139	89	82	141	67	154	61	78	62	95	70	135
YDL140C	IV	205360	210561	-	5202	442	398	343	466	261	438	356	410	267	426	354	800
YDL139C	IV	211375	212046	-	672	59	41	51	53	35	94	20	37	26	34	25	54
YDL138W	IV	213351	215642	+	2292	123	121	97	111	67	315	55	66	68	86	68	126
YDL137W	IV	216529	217074	+	546	838	766	794	900	635	263	305	365	385	552	370	652
YDL136W	IV;IV	217600;218008	217602;218367	+;+	363	297	259	207	323	249	54	197	346	224	369	373	566
YDL135C	IV	218680	219288	-	609	147	133	130	153	96	139	64	82	75	108	77	163
YDL134C	IV	219662	220771	-	1110	348	292	265	318	243	191	195	221	180	320	251	394
YDL133C-A	IV	221724	221801	-	78	432	317	528	572	392	12	225	475	344	505	310	589
YDL133W	IV	222427	223740	+	1314	139	102	94	157	119	104	49	90	79	98	92	146
YDL132W	IV	224304	226751	+	2448	383	343	345	443	227	839	168	199	191	315	209	434
YDL131W	IV	227393	228715	+	1323	251	210	234	250	190	290	133	156	124	220	138	260
YDL130W-A	IV	229171	229431	+	261	124	86	76	148	95	117	55	50	72	86	49	72
YDL130W	IV;IV	229906;230321	230019;230527	+;+	321	1421	1075	1028	1336	1141	124	742	1228	973	1607	1513	1738
YDL128W	IV	232652	233887	+	1236	337	259	243	311	191	255	141	248	152	263	188	375
YDL127W	IV	234927	235853	+	927	72	33	49	68	44	99	14	33	21	30	28	48
YDL126C	IV	236157	238664	-	2508	2199	2157	2287	2510	1483	1469	1350	1316	1169	1856	1228	2717
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	607	499	423	556	447	291	257	341	297	521	356	535
YDL123W	IV	241418	241840	+	423	109	80	84	93	56	271	44	54	56	72	57	126
YDL122W	IV	242552	244981	+	2430	223	193	226	247	138	439	106	221	145	192	213	493
YDL120W	IV	245923	246447	+	525	95	99	76	147	89	53	58	87	72	110	85	140
YDL119C	IV	246689	247612	-	924	94	74	62	117	57	118	24	42	38	55	60	58
YDL117W	IV	248581	251238	+	2658	147	103	108	184	79	237	44	81	63	81	80	178
YDL116W	IV	251566	253746	+	2181	128	100	118	179	72	115	48	80	72	112	95	186
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	139	93	107	168	83	151	52	66	80	90	73	128
YDL113C	IV	256633	258555	-	1923	151	115	122	174	83	94	46	87	80	106	59	159
YDL112W	IV	258915	263225	+	4311	115	108	93	131	70	116	59	148	85	128	159	331
YDL111C	IV	263313	264110	-	798	105	91	65	99	58	174	52	119	77	100	85	170
YDL110C	IV	264512	264964	-	453	522	408	300	555	286	685	297	213	255	393	197	350
YDL108W	IV;IV	267698;267807	267725;268699	+;+	921	65	61	47	65	35	52	35	56	39	58	56	89
YDL107W	IV	268921	269976	+	1056	57	33	42	49	25	49	20	39	34	44	26	49
YDL106C	IV	270222	271901	-	1680	153	96	104	155	88	207	62	80	70	106	72	127
YDL105W	IV	272389	273597	+	1209	33	20	29	37	20	28	15	19	5	20	10	22
YDL104C	IV	273653	274876	-	1224	36	24	31	35	30	28	18	25	25	24	18	38
YDL103C	IV	275148	276581	-	1434	154	131	128	181	91	157	65	90	76	133	72	143
YDL102W	IV	276872	280165	+	3294	91	53	61	99	36	112	40	66	41	65	56	125
YDL101C	IV	280307	281848	-	1542	48	34	34	62	27	31	30	37	34	58	33	63
YDL100C	IV	282112	283176	-	1065	632	635	569	627	465	520	336	365	300	516	376	658
YDL099W	IV	283419	284444	+	1026	244	188	207	319	163	579	84	157	147	179	148	311
YDL098C	IV	284581	285165	-	585	44	27	28	35	21	48	8	24	17	25	20	33
YDL097C	IV	285391	286695	-	1305	742	638	543	712	509	662	352	436	447	604	415	809
YDL096C	IV	286998	287324	-	327	0	0	0	0	0	0	0	1	0	0	0	2
YDL095W	IV	287059	289512	+	2454	469	472	402	571	305	647	216	309	248	357	258	643
YDL093W	IV	289909	292140	+	2232	111	75	75	106	61	83	53	77	47	72	71	123
YDL092W	IV	292781	293221	+	441	150	100	140	190	97	294	63	116	82	111	102	190
YDL091C	IV	293392	294759	-	1368	118	71	100	107	66	163	33	48	36	96	50	95
YDL090C	IV	295034	296329	-	1296	101	92	74	106	68	132	47	53	48	63	49	102
YDL089W	IV	296820	298274	+	1455	88	45	67	82	66	49	27	48	40	59	56	82
YDL088C	IV	298417	300003	-	1587	167	149	90	178	111	235	63	122	93	120	116	199
YDL087C	IV	300214	300999	-	786	65	58	60	46	55	81	24	49	33	43	38	65
YDL085W	IV	303211	304848	+	1638	29	26	22	43	18	29	6	3	11	16	6	15
YDL084W	IV	305237	306577	+	1341	858	781	724	931	556	198	421	646	498	765	644	1240
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	1337	1221	1086	1367	988	240	925	1473	1128	1807	1671	2389
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	1052	814	863	1009	756	808	563	1117	785	1220	1086	1694
YDL081C	IV	309802	310122	-	321	1290	1033	1155	1490	942	2415	618	1248	915	1357	1315	2276
YDL080C	IV	310642	312471	-	1830	116	75	75	97	75	102	45	86	53	91	85	167
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	172	126	84	163	71	229	97	105	152	189	92	180
YDL078C	IV	315357	316388	-	1032	480	393	408	465	322	238	242	274	263	439	281	475
YDL077C	IV	316971	320120	-	3150	83	87	72	106	58	93	40	80	52	88	51	126
YDL076C	IV	320668	321552	-	885	152	108	107	159	88	184	50	72	79	96	83	161
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	1807	1362	1506	1753	1170	382	1011	1617	1249	1949	1618	3019
YDL074C	IV	324047	326149	-	2103	223	122	175	232	115	117	53	167	121	157	161	348
YDL073W	IV	326613	329567	+	2955	142	85	114	154	80	167	46	85	74	108	101	232
YDL072C	IV	329836	330447	-	612	644	508	430	623	399	470	249	325	324	563	266	501
YDL071C	IV	330666	331040	-	375	5	4	6	2	3	17	4	6	2	2	3	6
YDL070W	IV	331024	332940	+	1917	279	164	247	277	153	175	138	317	235	292	243	518
YDL069C	IV	333121	333810	-	690	36	15	27	21	22	11	9	17	35	38	19	41
YDL067C	IV	334217	334396	-	180	147	107	83	120	91	127	34	55	76	91	60	114
YDL066W	IV	334835	336121	+	1287	340	335	314	388	240	172	220	187	178	291	163	348
YDL065C	IV	336249	337277	-	1029	153	100	113	166	99	354	49	82	81	118	96	181
YDL064W	IV;IV	337487;337635	337524;338070	+;+	474	108	75	76	118	62	85	37	82	71	97	72	162
YDL063C	IV	338272	340134	-	1863	20	18	25	23	14	10	14	45	20	40	49	123
YDL061C	IV	340628	340798	-	171	726	516	494	621	623	211	406	812	556	914	821	876
YDL060W	IV	341619	343985	+	2367	68	75	85	89	43	120	66	179	69	102	185	356
YDL059C	IV	344237	344953	-	717	56	45	33	44	33	48	22	20	18	38	23	29
YDL058W	IV	345665	351037	+	5373	200	144	243	287	120	248	67	122	76	117	101	306
YDL056W	IV	352877	355378	+	2502	148	82	92	106	87	236	44	89	54	64	61	129
YDL055C	IV	355674	356759	-	1086	2165	2139	1969	2270	1539	555	1698	2002	1627	2652	2111	3694
YDL054C	IV	359825	361285	-	1461	117	114	115	123	85	142	62	66	53	96	48	93
YDL053C	IV	361699	362256	-	558	123	105	93	128	79	141	60	87	85	116	84	180
YDL052C	IV	362672	363583	-	912	251	178	179	257	191	522	155	225	234	295	240	351
YDL051W	IV	363952	364779	+	828	205	157	156	228	103	176	111	224	144	226	257	420
YDL049C	IV	365068	365874	-	807	71	49	39	68	30	97	36	54	38	46	68	108
YDL048C	IV	366739	368211	-	1473	183	164	152	162	129	470	169	252	189	380	319	570
YDL047W	IV	369771	370706	+	936	234	182	184	217	150	201	70	153	122	187	152	252
YDL046W	IV	371240	371761	+	522	617	408	381	567	409	456	230	324	316	455	303	453
YDL045W-A	IV	372248	372535	+	288	86	51	52	73	47	85	37	54	57	98	64	95
YDL045C	IV	372688	373608	-	921	132	105	108	167	96	347	57	58	65	111	57	157
YDL044C	IV	373967	375289	-	1323	45	28	27	46	15	45	9	20	20	21	36	40
YDL043C	IV	375680	376480	-	801	37	16	30	40	24	21	25	41	33	40	45	66
YDL042C	IV	376757	378445	-	1689	68	47	31	56	32	34	27	48	46	39	55	98
YDL040C	IV	378874	381438	-	2565	300	264	280	356	180	387	112	218	163	248	242	464
YDL039C	IV	381985	384081	-	2097	62	50	60	58	52	248	184	480	244	362	583	858
YDL037C	IV	384601	385587	-	987	5	5	5	2	0	1	23	47	13	19	46	72
YDL036C	IV	387513	388901	-	1389	60	58	36	53	38	42	24	50	19	28	37	84
YDL035C	IV	389172	392057	-	2886	241	216	225	277	151	253	65	135	84	129	92	213
YDL033C	IV	392659	393912	-	1254	29	28	25	30	20	68	22	30	24	47	24	62
YDL031W	IV	394217	397204	+	2988	107	75	84	118	61	131	56	182	84	117	174	410
YDL030W	IV	397537	399129	+	1593	77	51	41	62	37	142	22	56	43	40	53	91
YDL029W	IV;IV	399340;399485	399361;400638	+;+	1176	675	551	566	766	461	229	363	406	353	534	373	662
YDL028C	IV	400997	403291	-	2295	77	69	53	93	47	194	41	53	51	59	57	105
YDL027C	IV	403695	404957	-	1263	170	114	105	164	90	195	57	83	94	120	82	164
YDL025C	IV	405344	407206	-	1863	216	184	159	217	128	160	136	98	121	197	130	200
YDL024C	IV	408451	409857	-	1407	22	18	24	19	8	22	4	3	7	11	1	6
YDL023C	IV	411761	412081	-	321	0	0	0	1	1	4	0	0	0	1	0	0
YDL022W	IV	411825	413000	+	1176	423	405	438	441	346	341	622	639	573	1054	493	990
YDL021W	IV	413953	414888	+	936	69	31	39	59	36	36	10	15	20	35	10	38
YDL020C	IV	415113	416708	-	1596	276	197	160	280	129	530	103	199	133	195	182	343
YDL019C	IV	417663	421514	-	3852	328	292	289	368	237	679	204	190	193	332	192	423
YDL018C	IV	422833	423510	-	678	70	71	61	83	59	36	19	38	44	67	28	56
YDL017W	IV	424209	425732	+	1524	98	51	63	86	45	69	21	36	49	55	44	84
YDL015C	IV	426002	426934	-	933	333	249	248	350	214	187	138	269	217	331	252	488
YDL014W	IV	427364	428347	+	984	709	614	624	780	492	614	548	982	591	847	1083	1895
YDL013W	IV	429067	430926	+	1860	143	131	116	179	88	257	75	103	71	107	85	188
YDL010W	IV	432330	433025	+	696	174	144	141	184	98	127	28	55	68	84	52	117
YDL008W	IV	433497	433994	+	498	62	65	48	63	62	55	44	56	41	70	47	76
YDL007W	IV	438047	439360	+	1314	751	618	702	835	481	960	326	441	411	607	448	840
YDL006W	IV	439909	440754	+	846	85	72	81	105	42	104	41	63	39	77	62	113
YDL005C	IV	441014	442309	-	1296	164	121	111	181	71	316	49	116	86	103	99	218
YDL004W	IV	443029	443511	+	483	280	268	197	323	180	110	109	126	148	208	134	211
YDL003W	IV	444683	446383	+	1701	93	75	79	102	65	179	36	30	36	49	41	83
YDL002C	IV	446967	447578	-	612	102	55	77	103	63	101	16	59	46	55	49	109
YDL001W	IV	447984	449276	+	1293	68	40	54	63	32	123	15	35	28	34	42	71
YDR001C	IV	450220	452475	-	2256	449	353	363	486	261	242	282	294	333	478	270	503
YDR002W	IV	453045	453650	+	606	883	706	778	951	538	171	366	665	509	674	624	1152
YDR003W	IV	454122	454754	+	633	165	137	110	175	101	408	56	80	83	116	70	144
YDR004W	IV	455201	456583	+	1383	100	80	60	88	55	108	26	56	53	51	46	99
YDR005C	IV;IV	456836;458098	458017;458103	-;-	1188	136	80	95	131	70	65	42	97	90	110	70	144
YDR006C	IV	458542	461247	-	2706	216	177	147	247	138	536	80	142	97	185	150	272
YDR007W	IV	461842	462516	+	675	163	132	150	181	125	96	70	110	78	125	84	168
YDR009W	IV	463434	464996	+	1563	47	31	32	44	27	22	13	11	18	19	15	12
YDR011W	IV	465919	470424	+	4506	241	193	210	245	140	303	290	394	263	413	402	704
YDR012W	IV	471853	472941	+	1089	668	680	693	810	533	320	437	551	435	704	567	948
YDR013W	IV	473157	473783	+	627	59	42	43	63	46	25	19	39	27	31	43	58
YDR014W	IV	474046	475989	+	1944	26	23	31	29	22	58	2	21	13	23	17	40
YDR014W-A	IV	477797	478285	+	489	4	3	1	1	1	1	2	1	1	2	0	0
YDR016C	IV	478474	478758	-	285	82	71	59	75	50	24	25	37	36	64	36	49
YDR017C	IV	479115	482267	-	3153	217	140	155	213	120	209	84	195	131	158	198	370
YDR019C	IV	484163	485365	-	1203	53	30	36	37	36	30	167	79	72	236	67	119
YDR020C	IV	485746	486444	-	699	22	20	17	20	20	39	9	21	13	32	30	64
YDR021W	IV	486804	488003	+	1200	14	6	17	13	6	10	2	21	19	16	20	54
YDR023W	IV	489508	490896	+	1389	842	607	671	861	466	368	360	732	521	782	617	1405
YDR024W	IV	491017	491502	+	486	11	1	4	3	2	5	2	3	5	3	3	8
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	1785	1586	1486	1731	1501	240	1243	1617	1177	2148	1903	2530
YDR026C	IV	492556	494268	-	1713	141	118	116	158	100	207	62	93	86	73	101	155
YDR027C	IV	494649	497318	-	2670	171	124	125	194	92	195	70	105	90	125	105	232
YDR028C	IV	497835	500879	-	3045	524	481	448	610	321	575	280	287	275	444	268	678
YDR030C	IV	501753	503273	-	1521	23	12	25	21	19	34	5	18	11	24	17	49
YDR031W	IV	503498	503863	+	366	39	29	34	31	20	27	11	17	18	33	22	32
YDR032C	IV	504099	504695	-	597	736	698	690	797	516	238	316	309	357	516	318	512
YDR033W	IV	508147	509109	+	963	120	95	104	103	89	41	617	1126	703	1312	1083	1993
YDR034C	IV	509737	512109	-	2373	95	61	83	98	54	129	41	72	59	79	70	110
YDR035W	IV	521816	522928	+	1113	569	475	587	551	420	389	385	336	336	621	317	632
YDR036C	IV	523211	524713	-	1503	126	81	75	124	48	92	60	72	66	97	74	145
YDR037W	IV	525440	527215	+	1776	1132	1012	1038	1139	816	852	799	1127	856	1394	1154	2185
YDR038C	IV	527422	530697	-	3276	33	24	28	38	23	64	22	25	21	30	16	43
YDR039C	IV	531307	534582	-	3276	0	0	0	0	0	0	0	0	0	0	0	0
YDR040C	IV	535192	538467	-	3276	23	21	17	17	26	9	19	15	15	26	19	21
YDR041W	IV	539803	540414	+	612	191	122	134	161	98	156	70	109	93	136	81	156
YDR043C	IV	542674	543369	-	696	35	43	50	49	30	46	15	53	23	34	52	75
YDR044W	IV	546642	547628	+	987	200	168	184	181	132	228	254	529	266	467	573	862
YDR045C	IV	547978	548310	-	333	60	51	50	76	60	10	37	61	49	71	72	101
YDR046C	IV	548762	550576	-	1815	395	326	319	377	220	484	320	390	279	453	342	712
YDR047W	IV	551860	552948	+	1089	303	239	296	345	216	102	103	188	150	262	231	355
YDR049W	IV	553254	555152	+	1899	141	71	84	120	71	118	28	69	51	64	67	135
YDR050C	IV	555726	556472	-	747	9526	8259	9106	9469	6876	1249	5884	6963	5726	10571	7148	12316
YDR051C	IV	557056	558060	-	1005	133	123	136	152	113	137	48	80	52	88	94	151
YDR052C	IV	558511	560625	-	2115	246	151	169	226	116	514	59	131	76	133	108	243
YDR054C	IV	561440	562327	-	888	364	240	250	339	164	348	118	179	142	219	143	315
YDR055W	IV	563527	564861	+	1335	133	136	99	145	70	107	287	286	324	583	259	530
YDR056C	IV	565023	565640	-	618	266	220	231	287	185	489	114	180	151	184	161	320
YDR057W	IV	565927	567555	+	1629	131	121	104	137	84	243	57	79	76	88	63	166
YDR058C	IV	567723	568703	-	981	43	34	29	76	23	92	16	21	17	23	17	30
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	137	96	80	129	93	315	31	34	31	72	33	53
YDR060W	IV	570649	573726	+	3078	133	110	126	170	76	129	70	234	124	163	264	573
YDR062W	IV	576474	578159	+	1686	348	329	319	431	221	245	224	263	214	332	316	602
YDR063W	IV	578663	579112	+	450	109	105	118	114	95	247	47	85	80	89	76	119
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	2103	1945	1990	2325	1681	502	1399	2238	1678	2638	2352	3666
YDR065W	IV	580687	581784	+	1098	21	18	25	30	12	17	10	22	10	27	19	42
YDR066C	IV	581908	582498	-	591	24	19	12	24	16	18	13	20	11	34	20	32
YDR067C	IV	582791	583465	-	675	79	54	81	91	53	49	34	46	37	95	39	95
YDR068W	IV	583713	584645	+	933	185	117	145	217	121	259	83	124	102	169	130	238
YDR069C	IV	584939	587719	-	2781	65	62	57	69	46	73	35	48	35	56	51	91
YDR070C	IV	588098	588379	-	282	22	17	13	13	15	24	7	6	14	24	9	16
YDR071C	IV	588827	589402	-	576	339	245	224	394	209	133	105	229	186	269	200	388
YDR072C	IV	589761	591344	-	1584	342	214	225	305	209	392	180	404	278	401	334	683
YDR073W	IV	592439	592948	+	510	125	92	94	129	72	111	68	109	109	148	118	185
YDR074W	IV	593893	596583	+	2691	910	788	954	947	626	670	746	953	917	1487	802	1602
YDR075W	IV	597156	598082	+	927	45	33	30	41	23	60	11	38	22	28	44	61
YDR076W	IV	598468	599688	+	1221	66	30	51	55	38	78	8	13	21	32	22	44
YDR077W	IV	600793	601809	+	1017	719	713	614	720	525	2142	4512	3910	4146	6889	3976	8107
YDR078C	IV	602198	602869	-	672	49	26	29	55	44	12	7	28	16	19	16	31
YDR079W	IV	603064	603399	+	336	47	28	29	48	19	17	7	20	25	36	27	35
YDR079C-A	IV	603593	603811	-	219	30	34	31	35	16	25	9	15	26	28	19	30
YDR080W	IV	604008	606986	+	2979	69	43	61	71	30	82	30	43	32	48	40	100
YDR081C	IV	607304	610081	-	2778	122	80	82	149	67	357	49	104	61	88	108	172
YDR082W	IV	610441	611925	+	1485	43	25	21	38	20	34	17	33	16	40	27	47
YDR083W	IV	612073	613251	+	1179	47	30	41	54	16	64	23	66	37	55	76	188
YDR084C	IV	613405	614004	-	600	161	129	107	150	123	195	58	81	69	112	71	126
YDR085C	IV	614288	616150	-	1863	109	99	120	127	58	149	116	113	161	191	110	215
YDR086C	IV	616928	617170	-	243	382	269	294	371	237	120	104	231	202	283	191	397
YDR087C	IV	617470	618306	-	837	68	78	73	115	59	52	49	104	76	81	137	235
YDR088C	IV	618497	619645	-	1149	132	109	108	160	63	430	41	60	44	60	67	148
YDR089W	IV	622112	624721	+	2610	29	36	42	45	28	42	81	65	66	161	70	140
YDR091C	IV	626708	628534	-	1827	123	87	96	121	60	50	71	173	107	160	196	391
YDR092W	IV;IV	629876;630174	629905;630605	+;+	462	220	230	215	260	182	336	84	96	104	160	118	189
YDR093W	IV	631282	636120	+	4839	474	425	460	503	323	551	285	291	240	382	358	661
YDR096W	IV	637139	639823	+	2685	469	343	262	450	250	794	153	242	198	290	201	416
YDR097C	IV	640109	643837	-	3729	104	90	76	89	56	85	41	70	43	57	76	124
YDR098C	IV	644178	644930	-	753	242	190	185	283	154	326	68	128	109	172	138	258
YDR099W	IV	653607	654428	+	822	633	488	491	678	375	463	294	363	304	483	306	704
YDR100W	IV	655013	655444	+	432	160	97	101	174	101	139	36	69	78	96	44	91
YDR101C	IV	655686	657467	-	1782	48	39	32	38	19	37	39	100	45	72	109	236
YDR103W	IV	658350	661103	+	2754	128	101	91	129	74	150	48	83	58	93	91	161
YDR104C	IV	661173	664910	-	3738	70	71	67	80	40	59	18	34	24	40	41	76
YDR105C	IV	665349	666770	-	1422	148	114	106	152	86	183	50	86	74	101	91	162
YDR106W	IV	667004	667858	+	855	9	7	4	18	4	15	2	6	5	7	2	19
YDR107C	IV	669016	671034	-	2019	94	69	60	101	56	49	36	44	38	58	44	109
YDR108W	IV	671269	673365	+	2097	75	43	45	82	50	87	32	61	41	56	54	94
YDR110W	IV	676102	677802	+	1701	51	40	46	72	42	50	25	53	26	46	44	86
YDR111C	IV	678241	679764	-	1524	266	179	205	228	142	164	48	76	52	86	88	190
YDR112W	IV	679544	679852	+	309	7	0	6	8	4	7	3	3	2	3	4	9
YDR113C	IV	680496	681617	-	1122	87	69	72	103	54	157	42	53	41	48	52	91
YDR115W	IV	682175	682492	+	318	109	85	60	119	71	19	49	64	64	90	79	80
YDR116C	IV	682724	683581	-	858	134	83	85	86	78	151	60	98	88	133	83	141
YDR117C	IV	683946	685643	-	1698	139	102	103	163	69	156	45	79	69	79	99	155
YDR118W	IV	685882	687840	+	1959	30	40	48	61	29	21	6	30	21	23	26	58
YDR119W	IV	688227	690533	+	2307	119	119	131	142	115	99	83	123	86	128	136	235
YDR119W-A	IV	691014	691214	+	201	8	9	3	10	7	3	15	33	36	42	21	27
YDR120C	IV	691549	693261	-	1713	74	60	71	76	42	65	42	105	62	109	111	282
YDR121W	IV	693585	694175	+	591	82	70	77	91	48	147	41	65	48	67	75	151
YDR122W	IV	694700	697894	+	3195	455	419	368	473	262	509	201	238	229	360	178	491
YDR123C	IV	698554	699468	-	915	73	51	55	51	38	186	11	34	16	31	33	52
YDR125C	IV	701397	702758	-	1362	32	19	9	19	15	27	5	13	15	26	16	23
YDR126W	IV	703234	704244	+	1011	54	32	30	45	32	93	28	34	25	54	22	58
YDR127W	IV	704484	709250	+	4767	441	387	447	462	294	282	328	336	264	455	353	686
YDR128W	IV	709549	712995	+	3447	185	143	167	230	146	157	72	95	87	113	111	210
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	896	729	774	937	610	801	485	525	500	877	481	1011
YDR130C	IV	715747	716622	-	876	49	35	34	33	35	19	15	26	24	56	43	66
YDR135C	IV	723004	727551	-	4548	406	435	354	508	299	520	261	292	261	363	278	566
YDR136C	IV	727711	728283	-	573	3	2	1	0	0	1	1	7	0	1	2	3
YDR137W	IV	728259	730250	+	1992	109	107	86	121	58	86	41	75	65	102	78	146
YDR138W	IV	730578	732836	+	2259	78	47	58	77	31	96	22	69	40	59	61	108
YDR139C	IV;IV	733618;733776	733702;733924	-;-	234	85	93	73	117	83	29	39	51	49	106	52	89
YDR140W	IV	734138	734803	+	666	58	29	33	54	43	90	21	31	28	42	36	67
YDR141C	IV	734901	739997	-	5097	189	131	154	192	122	161	72	130	91	162	115	259
YDR142C	IV	740473	741600	-	1128	87	77	57	94	58	96	41	49	47	59	37	87
YDR143C	IV	742042	743874	-	1833	145	129	87	133	98	280	91	170	81	151	145	247
YDR144C	IV	744311	746101	-	1791	133	143	130	136	97	130	76	138	85	135	114	260
YDR145W	IV	746738	748357	+	1620	286	210	205	291	154	424	107	153	123	161	165	324
YDR146C	IV	748613	750742	-	2130	95	85	75	132	62	280	50	63	75	81	76	143
YDR147W	IV	751631	753235	+	1605	82	51	62	79	53	54	22	47	36	48	43	83
YDR148C	IV	753675	755066	-	1392	300	238	245	263	181	139	145	162	175	229	149	289
